,rf,lgb,xgb,seurat,var,cv2,nsc,fisher_score,scGeneFit,cellassign,m3drop,deviance,rf+fisher_score,monocle3
MRR,0.036014621852708005,0.05631036942376518,0.0930340594471789,0.05638498157201085,0.04484832098330403,0.002941163169439491,0.027029261078688648,0.03398778401689987,0.0,0.0,0.05173192957361618,0.04644916449496255,0.03774980810322236,0.019344013011085154
markers_found,94.2,41.8,26.6,43.4,59.2,4.8,51.0,88.4,0.0,123.2,57.8,56.8,98.0,79.4
computation_time,0.569234,48.119082000000006,12.163839999999999,1.5339040000000002,0.07365000000000001,0.098712,108.23510999999999,2.118114,1994.603352,47.68620000000001,4.496599999999999,3.3280000000000003,3.080556,37.53960000000001
scmap_cluster_F1,0.9958672537070473,0.9920159804244179,0.5766140198867564,0.028223743247471227,0.9936551425436188,0.0,0.9896929724667916,0.9953256472740757,0.0,0.9827583673488087,0.5492593604080364,0.9930358257163272,0.9966327202794176,0.9926258671637074
scmap_cell_F1,0.9831001766184941,0.9123679134427067,0.7918851967157032,0.17023185171195152,0.8938149367750128,0.0,0.8914746005624725,0.9788103017026468,0.0,0.978012690785025,0.8669032634626518,0.8982317650090834,0.9846370432659383,0.9525314651724488
singleR_F1,0.9917525162695764,0.9966919525896888,0.962259214360477,0.9933098533551619,0.9986399335776387,0.18059613782795272,0.993340599866311,0.9917231034021476,0.0,0.9910384555417435,0.9979618445713193,0.9979829776897313,0.9896720408162871,0.996615657616041
scmap_cluster_F1_rare,0.9444736842105262,0.9317251461988304,0.06666666666666668,0.4055677655677655,0.9291795665634675,0.0,0.8789473684210527,0.9704761904761904,0.0,0.8716632266941865,0.10909090909090909,0.8889473684210527,0.968235294117647,0.9254761904761905
scmap_cell_F1_rare,0.7175213675213674,0.14303030303030304,0.0,0.0,0.0,0.0,0.03636363636363636,0.6089743589743589,0.0,0.6327838827838829,0.11272727272727272,0.20969696969696966,0.7266666666666667,0.19533799533799537
singleR_F1_rare,0.9434210526315792,0.9799498746867169,0.7934897630549805,0.9704761904761904,0.9882352941176471,0.0,0.9396137402329352,0.9211988304093568,0.0,0.9211988304093568,0.9882352941176471,0.9787114845938376,0.9211988304093568,0.9777089783281735
