,cv2,var,m3drop,seurat,deviance,seurat+deviance,monocle3
MRR,0.0033061625118022235,0.03607759860580716,0.018437405176553345,0.05060504627445589,0.04627227346613781,0.054143467609587416,0.018080688750014732
markers_found,10.0,74.0,71.0,49.0,57.0,52.0,73.0
computation_time,0.0,0.0,0.0,0.0,0.0,0.0,0.0
seurat_ARI,0.017483187982280258,0.4693691206176574,0.4124087271195168,0.8144946815529156,0.4866278701388135,0.521846804727063,0.41634016076478353
sc3_ARI,0.008525788375350101,0.9397367587555063,0.9845927655749842,0.8271699266844822,0.9740448048686503,0.9881358978770454,0.7243659633897832
cidr_ARI,-0.004382521189171174,0.4620849563137873,0.5512700639232406,0.6720618513863023,0.4763197520898904,0.81286929550907,0.578649516266846
seurat_F1_rare,0.06689366079232903,0.20426263356764623,0.12468664765090316,0.44234047693299666,0.2112413996667093,0.1606273278103356,0.19914751528157573
sc3_F1_rare,0.10744223799924954,0.5451692432691576,0.5222803896979256,0.49443769597359033,0.5347002455647907,0.6171186746756023,0.4665779759434704
cidr_F1_rare,0.07048863471549119,0.08673022888832418,0.13301671984715108,0.4500844447585154,0.09696176876878371,0.44653721569960136,0.30642970838872163
